row_id,birds
XC125458_ogg,"['afrsil1', 'comwax']"
XC175522_ogg,"['afrsil1', 'warwhe1', 'zebdov']"
XC177993_ogg,"['afrsil1', 'comsan']"
XC205893_ogg,['comsan']
XC207431_ogg,[]
XC207432_ogg,['saffin']
XC209513_ogg,['afrsil1']
XC234994_ogg,['afrsil1']
XC317039_ogg,['afrsil1']
XC322742_ogg,['afrsil1']
XC344134_ogg,['afrsil1']
XC371226_ogg,"['afrsil1', 'arcter']"
XC395771_ogg,['afrsil1']
XC445331_ogg,"['afrsil1', 'jabwar']"
XC597072_ogg,['afrsil1']
XC650014_ogg,"['afrsil1', 'comwax', 'nutman']"
XC174953_ogg,"['gnwtea', 'iiwi']"
XC174954_ogg,"['akekee', 'aniani', 'apapan', 'hawama', 'iiwi', 'kauama']"
XC210201_ogg,"['akekee', 'aniani', 'apapan', 'oahama', 'warwhe1']"
XC219961_ogg,"['akekee', 'akiapo', 'aniani', 'apapan', 'hawama']"
XC27306_ogg,"['akekee', 'aniani', 'apapan', 'hawama', 'iiwi', 'kauama']"
XC27320_ogg,"['hawama', 'houfin', 'iiwi']"
XC122473_ogg,"['akepa1', 'akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC122672_ogg,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC124794_ogg,"['akepa1', 'akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC127673_ogg,"['akepa1', 'akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC147002_ogg,"['akepa1', 'akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC175511_ogg,"['akepa1', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC175512_ogg,"['akepa1', 'apapan', 'hawama', 'hawcre', 'iiwi', 'warwhe1']"
XC175513_ogg,"['akepa1', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao', 'warwhe1']"
XC27348_ogg,"['akepa1', 'apapan', 'hawama', 'hawcre', 'iiwi']"
XC27356_ogg,['iiwi']
XC122399_ogg,"['akiapo', 'apapan', 'hawama', 'hawcre', 'iiwi', 'omao']"
