step,_epoch_,train,train_epoch_f1_at_005,train_epoch_f1_at_01,train_epoch_f1_at_03,train_epoch_f1_at_05,train_epoch_f1_at_07,train_epoch_mAP,valid,valid_epoch_f1_at_005,valid_epoch_f1_at_01,valid_epoch_f1_at_03,valid_epoch_f1_at_05,valid_epoch_f1_at_07,valid_epoch_mAP
1,{'lr': 0.0007804226065180615, 'momentum': 0.9},{'f1_at_005': 0.03941545336393248, 'f1_at_01': 0.001433782256658667, 'f1_at_03': 0.00027793261077883674, 'f1_at_05': 0.0002902688687548579, 'f1_at_07': 2.4047999807616e-05, 'mAP': 0.008235098060698796, 'loss': 0.07487625487282967, 'loss/mean': 0.07487625487282967, 'loss/std': 0.4855988630868115, 'lr': 0.0008, 'momentum': 0.9},0.03941545336393248,0.001433782256658667,0.00027793261077883674,0.0002902688687548579,2.4047999807616e-05,0.008235098060698796,{'f1_at_005': 0.07132776858793341, 'f1_at_01': 0.042589476046224616, 'f1_at_03': 0.0, 'f1_at_05': 0.0, 'f1_at_07': 0.0, 'mAP': 0.016674485492005852, 'loss': 0.009166227193447082, 'loss/mean': 0.009166227193447082, 'loss/std': 0.0013516424330184795, 'lr': 0.0008, 'momentum': 0.9},0.07132776858793341,0.042589476046224616,0.0,0.0,0.0,0.016674485492005852
2,{'lr': 0.0007236067977499789, 'momentum': 0.9},{'f1_at_005': 0.08940894413223938, 'f1_at_01': 0.023581067811351455, 'f1_at_03': 0.0, 'f1_at_05': 0.0, 'f1_at_07': 0.0, 'mAP': 0.018506803480047934, 'loss': 0.00977441308445029, 'loss/mean': 0.00977441308445029, 'loss/std': 0.0005110627856899372, 'lr': 0.0007804226065180615, 'momentum': 0.9},0.08940894413223938,0.023581067811351455,0.0,0.0,0.0,0.018506803480047934,{'f1_at_005': 0.07410130913889372, 'f1_at_01': 0.1195012101104326, 'f1_at_03': 0.006058566139347021, 'f1_at_05': 0.0, 'f1_at_07': 0.0, 'mAP': 0.03734694471664081, 'loss': 0.00803732611169993, 'loss/mean': 0.00803732611169993, 'loss/std': 0.0014820642816841588, 'lr': 0.0007804226065180615, 'momentum': 0.9},0.07410130913889372,0.1195012101104326,0.006058566139347021,0.0,0.0,0.03734694471664081
3,{'lr': 0.0006351141009169893, 'momentum': 0.9},{'f1_at_005': 0.08454323163898875, 'f1_at_01': 0.10054027839567777, 'f1_at_03': 0.001094183991246528, 'f1_at_05': 0.0, 'f1_at_07': 0.0, 'mAP': 0.03474769471270369, 'loss': 0.008591526671685952, 'loss/mean': 0.008591526671685952, 'loss/std': 0.00036540903129813056, 'lr': 0.0007236067977499789, 'momentum': 0.9},0.08454323163898875,0.10054027839567777,0.001094183991246528,0.0,0.0,0.03474769471270369,{'f1_at_005': 0.05390119115660315, 'f1_at_01': 0.17289566337025106, 'f1_at_03': 0.02019522046449007, 'f1_at_05': 0.0006731740154830024, 'f1_at_07': 0.0, 'mAP': 0.0695522592276715, 'loss': 0.0068053718564140995, 'loss/mean': 0.0068053718564140995, 'loss/std': 0.0014841998772759392, 'lr': 0.0007236067977499789, 'momentum': 0.9},0.05390119115660315,0.17289566337025106,0.02019522046449007,0.0006731740154830024,0.0,0.0695522592276715
4,{'lr': 0.000523606797749979, 'momentum': 0.9},{'f1_at_005': 0.08259288155596103, 'f1_at_01': 0.1770590097835279, 'f1_at_03': 0.007154279942765761, 'f1_at_05': 0.0, 'f1_at_07': 0.0, 'mAP': 0.05706498978159959, 'loss': 0.007832693600397365, 'loss/mean': 0.007832693600397365, 'loss/std': 0.0003372591878242572, 'lr': 0.0006351141009169893, 'momentum': 0.9},0.08259288155596103,0.1770590097835279,0.007154279942765761,0.0,0.0,0.05706498978159959,{'f1_at_005': 0.05806455297392888, 'f1_at_01': 0.19311975843446727, 'f1_at_03': 0.046449007068327164, 'f1_at_05': 0.010097610232245036, 'f1_at_07': 0.0, 'mAP': 0.11314103775235484, 'loss': 0.006229433571798798, 'loss/mean': 0.006229433571798798, 'loss/std': 0.0016049993201611378, 'lr': 0.0006351141009169893, 'momentum': 0.9},0.05806455297392888,0.19311975843446727,0.046449007068327164,0.010097610232245036,0.0,0.11314103775235484
5,{'lr': 0.00039999999999999996, 'momentum': 0.9},{'f1_at_005': 0.0885148011672639, 'f1_at_01': 0.22590043059279655, 'f1_at_03': 0.019274471845804227, 'f1_at_05': 8.416799932665601e-05, 'f1_at_07': 0.0, 'mAP': 0.08460306473330985, 'loss': 0.007249786861616498, 'loss/mean': 0.007249786861616498, 'loss/std': 0.0003423598058248721, 'lr': 0.000523606797749979, 'momentum': 0.9},0.0885148011672639,0.22590043059279655,0.019274471845804227,8.416799932665601e-05,0.0,0.08460306473330985,{'f1_at_005': 0.07484253650251416, 'f1_at_01': 0.2180255699272865, 'f1_at_03': 0.08885897004375631, 'f1_at_05': 0.012453719286435544, 'f1_at_07': 0.0, 'mAP': 0.13777114858004866, 'loss': 0.005994639317409453, 'loss/mean': 0.005994639317409453, 'loss/std': 0.0018338158757597281, 'lr': 0.000523606797749979, 'momentum': 0.9},0.07484253650251416,0.2180255699272865,0.08885897004375631,0.012453719286435544,0.0,0.13777114858004866
6,{'lr': 0.00027639320225002103, 'momentum': 0.9},{'f1_at_005': 0.09715570894880927, 'f1_at_01': 0.260283125117735, 'f1_at_03': 0.03913811968689504, 'f1_at_05': 0.0018516959851864322, 'f1_at_07': 0.0, 'mAP': 0.11090694024390729, 'loss': 0.006824776379800892, 'loss/mean': 0.006824776379800892, 'loss/std': 0.0003132663804026653, 'lr': 0.00039999999999999996, 'momentum': 0.9},0.09715570894880927,0.260283125117735,0.03913811968689504,0.0018516959851864322,0.0,0.11090694024390729,{'f1_at_005': 0.07929544392719806, 'f1_at_01': 0.24299848025866203, 'f1_at_03': 0.1321664983731628, 'f1_at_05': 0.029283069673510603, 'f1_at_07': 0.0006731740154830024, 'mAP': 0.16706986143866018, 'loss': 0.00555311162300591, 'loss/mean': 0.00555311162300591, 'loss/std': 0.0017722222216517212, 'lr': 0.00039999999999999996, 'momentum': 0.9},0.07929544392719806,0.24299848025866203,0.1321664983731628,0.029283069673510603,0.0006731740154830024,0.16706986143866018
7,{'lr': 0.00016488589908301076, 'momentum': 0.9},{'f1_at_005': 0.1055641110453005, 'f1_at_01': 0.2930709696554322, 'f1_at_03': 0.05874926353000589, 'f1_at_05': 0.005891759952865921, 'f1_at_07': 0.0, 'mAP': 0.1370663823325522, 'loss': 0.006473364381455263, 'loss/mean': 0.006473364381455263, 'loss/std': 0.00035274581196123296, 'lr': 0.00027639320225002103, 'momentum': 0.9},0.1055641110453005,0.2930709696554322,0.05874926353000589,0.005891759952865921,0.0,0.1370663823325522,{'f1_at_005': 0.08590798668365686, 'f1_at_01': 0.251075451344721, 'f1_at_03': 0.15606417592280936, 'f1_at_05': 0.03635139683608213, 'f1_at_07': 0.003702457085156513, 'mAP': 0.1852489204865206, 'loss': 0.00527283486865338, 'loss/mean': 0.00527283486865338, 'loss/std': 0.0017895902063158184, 'lr': 0.00027639320225002103, 'momentum': 0.9},0.08590798668365686,0.251075451344721,0.15606417592280936,0.03635139683608213,0.003702457085156513,0.1852489204865206
8,{'lr': 7.639320225002105e-05, 'momentum': 0.9},{'f1_at_005': 0.11097725172047203, 'f1_at_01': 0.30989374792085, 'f1_at_03': 0.0721319754229442, 'f1_at_05': 0.007743455938052353, 'f1_at_07': 0.0, 'mAP': 0.15757368723391912, 'loss': 0.006268671358517024, 'loss/mean': 0.006268671358517024, 'loss/std': 0.0003243744820737252, 'lr': 0.00016488589908301076, 'momentum': 0.9},0.11097725172047203,0.30989374792085,0.0721319754229442,0.007743455938052353,0.0,0.15757368723391912,{'f1_at_005': 0.08627392183911359, 'f1_at_01': 0.26873356831283457, 'f1_at_03': 0.17749354874901827, 'f1_at_05': 0.04341972399865365, 'f1_at_07': 0.0026926960619320095, 'mAP': 0.1996281130106821, 'loss': 0.005102979881799921, 'loss/mean': 0.005102979881799921, 'loss/std': 0.0017507261133095228, 'lr': 0.00016488589908301076, 'momentum': 0.9},0.08627392183911359,0.26873356831283457,0.17749354874901827,0.04341972399865365,0.0026926960619320095,0.1996281130106821
9,{'lr': 1.9577393481938583e-05, 'momentum': 0.9},{'f1_at_005': 0.11584290934887456, 'f1_at_01': 0.32370832181033343, 'f1_at_03': 0.08669303930645568, 'f1_at_05': 0.013466879892264961, 'f1_at_07': 0.0, 'mAP': 0.17841333675178425, 'loss': 0.006116590380788421, 'loss/mean': 0.006116590380788421, 'loss/std': 0.0003349031345894863, 'lr': 7.639320225002105e-05, 'momentum': 0.9},0.11584290934887456,0.32370832181033343,0.08669303930645568,0.013466879892264961,0.0,0.17841333675178425,{'f1_at_005': 0.0931860786355463, 'f1_at_01': 0.2733989896561421, 'f1_at_03': 0.1969033995287782, 'f1_at_05': 0.05856613934702121, 'f1_at_07': 0.009761023224503534, 'mAP': 0.2108251673979468, 'loss': 0.005019401645558085, 'loss/mean': 0.005019401645558085, 'loss/std': 0.0018104788608862925, 'lr': 7.639320225002105e-05, 'momentum': 0.9},0.0931860786355463,0.2733989896561421,0.1969033995287782,0.05856613934702121,0.009761023224503534,0.2108251673979468
10,{'lr': 0.0, 'momentum': 0.9},{'f1_at_005': 0.11806465487265676, 'f1_at_01': 0.3300173813598609, 'f1_at_03': 0.09207979126336167, 'f1_at_05': 0.0126251998989984, 'f1_at_07': 8.416799932665601e-05, 'mAP': 0.1802873972228733, 'loss': 0.006046812370375293, 'loss/mean': 0.006046812370375293, 'loss/std': 0.00034431716412668253, 'lr': 1.9577393481938583e-05, 'momentum': 0.9},0.11806465487265676,0.3300173813598609,0.09207979126336167,0.0126251998989984,8.416799932665601e-05,0.1802873972228733,{'f1_at_005': 0.09630067404696156, 'f1_at_01': 0.2741365911847231, 'f1_at_03': 0.20172781330640635, 'f1_at_05': 0.06226859643217772, 'f1_at_07': 0.008751262201279031, 'mAP': 0.21080119087231408, 'loss': 0.005001334518787287, 'loss/mean': 0.005001334518787287, 'loss/std': 0.0018183676108955908, 'lr': 1.9577393481938583e-05, 'momentum': 0.9},0.09630067404696156,0.2741365911847231,0.20172781330640635,0.06226859643217772,0.008751262201279031,0.21080119087231408
